     dt     | total_auctions | increase_auctions 
------------+----------------+-------------------
 2020-01-02 |          95615 |              7992
 2020-01-03 |          98755 |              9308
 2020-01-06 |         100860 |              9774
 2020-01-07 |         132991 |             11312
 2020-01-08 |         152532 |             12996
 2020-01-09 |         130549 |             12658
 2020-01-10 |         120638 |             11491
 2020-01-13 |         110159 |             10333
 2020-01-14 |         124911 |             11082
 2020-01-15 |         123905 |             11814
 2020-01-16 |         135885 |             12865
 2020-01-17 |         113253 |             11149
 2020-01-20 |          82651 |              7500
 2020-01-21 |         107335 |              9820
 2020-01-22 |         126434 |             12813
 2020-01-23 |         185276 |             15970
 2020-01-24 |         115951 |             12061
 2020-01-27 |         142363 |             12837
 2020-01-28 |         141440 |             13622
 2020-01-29 |         122055 |             11117
 2020-01-30 |         152778 |             13873
 2020-01-31 |         190817 |             17347
 2020-02-03 |         151957 |             12970
 2020-02-04 |         201340 |             21006
 2020-02-05 |         161045 |             16405
 2020-02-06 |         159818 |             14420
 2020-02-07 |         172449 |             14773
 2020-02-10 |         106982 |             10124
 2020-02-11 |         147934 |             13475
 2020-02-12 |         168423 |             14970
 2020-02-13 |         178172 |             16004
 2020-02-14 |         124023 |             12338
 2020-02-17 |          87847 |              8188
 2020-02-18 |         119677 |             11357
 2020-02-19 |         141905 |             12039
 2020-02-20 |         140862 |             13587
 2020-02-21 |         145936 |             12548
 2020-02-24 |         206845 |             18067
 2020-02-25 |         230271 |             18250
 2020-02-26 |         266910 |             21981
 2020-02-27 |         302888 |             25126
 2020-02-28 |         390485 |             29402
 2020-03-02 |         282633 |             22576
 2020-03-03 |         289033 |             21395
 2020-03-04 |         232156 |             22524
 2020-03-05 |         227709 |             21885
 2020-03-06 |         291077 |             24745
 2020-03-09 |         446957 |             33066
 2020-03-10 |         411571 |             32563
 2020-03-11 |         320498 |             28886
 2020-03-12 |         521164 |             31724
 2020-03-13 |         564263 |             31571
 2020-03-16 |         450352 |             29689
 2020-03-17 |         456842 |             34680
